字段名称,是否必填,默认值,标准组件,字段逻辑
以下是【基本信息】部分,,,,
销售订单号,否,自动生成,,
销售仓库,是,,下拉单选,
销售方,是,当前公司,下拉单选,
客户,是,,下拉单选(查询),
联系人,否,,输入框,
联系电话,否,,输入框,
订单日期,是,当天,日期,
交货日期,否,,日期,
结算方式,否,,下拉单选,
支付方式,否,,下拉单选,
销售币种,否,CNY,下拉单选,
汇率,否,,数字,
运费,否,,金额,
折扣率,否,,百分比,
含税,否,是,枚举值单选,是、否
税率,否,13%,百分比,
订单类型,否,普通订单,枚举值单选,普通订单、退货订单、换货订单
订单状态,是,草稿,枚举值单选,草稿、待审核、已审核、已完成、已作废
销售员,是,登录账号的用户名,,
单据负责人,否,,下拉单选(查询),
附件,否,,上传按钮,
单据备注,否,,文本域,
以下是【明细表】部分,,,,
序号,,自动生成,,
图片,,,,根据品名赋值
品名/SKU,是,,下拉单选(查询),
规格,否,,,根据品名赋值
单位,否,,,根据品名赋值
数量,是,1,数字,
单价,是,,金额,
折扣率,否,0,百分比,
折后单价,,,,自动计算
金额,,,,自动计算
税额,,,,自动计算
价税合计,,,,自动计算
备货仓库,否,,下拉单选,
预计发货日期,否,,日期,
产品备注,否,,文本域,
